Major_category,Computer workers,Engineers,Mathematicians and statisticians,Life scientists,Physical scientists,Social scientists,Architects,Health care,Managers,Business and financial,Social services,Legal,Education,Arts and entertainment,Service,Sales,Office support,Agriculture,Construction,Production
Biology & Life Science,104800,80450,4855,22270,14885,8725,92720,2122275,375715,100525,72380,17405,265055,55035,196255,137155,155040,2235,49305,69225
Social Science,122300,27960,19950,10715,11475,36600,4555,93530,592000,383900,160330,354635,320800,91860,216075,344690,283595,2180,42990,76755
Education,42975,13645,3390,3965,4110,13240,1175,101740,451120,132805,153810,27775,2620110,69210,234095,200045,269895,3040,40885,84765
Psychology & Social Work,50555,8530,6225,10130,8610,104945,970,193710,264065,139375,289845,68110,260640,39990,147745,141490,201355,1055,17105,32970
Engineering,488570,1095900,10035,17430,37220,3155,7700,61625,599935,168720,16615,36915,125730,51380,75810,183665,97300,3120,123530,136075
Humanities & Liberal Arts,120335,19905,9935,8955,8250,21630,4950,143915,485985,253630,230925,251135,724395,209140,222225,307260,345020,2930,51030,96340
Agriculture & Natural Resources,70880,41430,7540,168160,107430,9130,5290,827565,358970,139745,33140,40660,284470,35555,167690,171215,139295,19500,43995,83825
Physical Sciences,93855,72920,4630,39515,127105,3245,1320,223030,174910,70695,15650,19035,153010,19620,56675,79110,69110,1550,22655,44840
Health,,,,,,,,,,,,,,,,,,,,
Business,446045,82840,30045,9230,12855,10545,3655,157070,2059190,2107785,117635,184825,372160,115255,456940,1438290,1076355,6805,163555,280660
Arts,62870,15360,1450,1880,2690,3915,7625,43985,194055,89310,32975,21825,278325,392915,131675,157965,163195,975,32550,61030
Communications & Journalism,68025,10835,4365,2085,1695,4370,1375,43560,312210,175900,47760,48025,154830,245635,100695,244115,200935,835,23305,43030
Computers & Mathematics,841840,68005,34685,7810,9020,2725,4365,37485,224360,131775,13695,15755,176820,29205,55510,99875,115070,905,43060,47765
Law & Public Policy,37835,22130,5300,6795,4455,14795,1310,131525,311980,135940,320620,89915,230545,35995,416095,158075,238060,2345,60915,110395
